City_ID,City Name,Latitude,Longitude,Temperature,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Country
0,Kattivākkam,13.2167,80.3167,82.31,83.1,80.69,88,100,0.78,IN
1,Qaqortoq,60.7167,-46.0333,30.74,30.74,30.74,97,100,10.76,GL
2,Cole Harbour,44.6724,-63.4751,16.93,17.92,14.83,80,0,1.01,CA
3,Waitangi,-43.9535,-176.5597,56.37,56.37,56.37,89,80,18.34,NZ
4,Dudinka,69.4058,86.1778,-12.42,-12.42,-12.42,100,100,7.67,RU
5,Ancud,-41.8697,-73.8203,48.9,48.9,48.9,84,97,3.89,CL
6,Ribeira Grande,38.5167,-28.7,64.8,66.78,64.8,88,40,12.66,PT
7,Keflavik,64.0049,-22.5624,39.63,39.63,39.63,87,75,28.77,IS
8,Santa Cruz de la Sierra,-17.8,-63.1667,74.66,74.66,74.66,100,75,13.8,BO
9,Punta Arenas,-53.15,-70.9167,44.71,44.71,44.11,76,75,25.32,CL
10,Rémire-Montjoly,4.9167,-52.2667,75.24,75.24,75.24,94,75,2.3,GF
11,Enewetak,11.3474,162.3373,82.06,82.06,82.06,81,89,22.35,MH
12,Balqash,46.8481,74.995,25.39,25.39,25.39,93,75,6.71,KZ
13,Adamstown,-25.066,-130.1015,73.42,73.42,73.42,72,91,19.95,PN
14,Yantai,37.5333,121.4,42.01,42.01,42.01,46,1,16.75,CN
15,Isafjordur,66.0755,-23.124,31.03,31.03,31.03,85,100,23.22,IS
16,Hawaiian Paradise Park,19.5933,-154.9731,73.92,74.89,72.73,89,2,6.46,US
17,Grytviken,-54.2811,-36.5092,27.88,27.88,27.88,69,58,6.89,GS
18,Zwiesel,49.0167,13.2333,38.82,40.6,35.22,88,100,2.53,DE
19,Margaret River,-33.95,115.0667,75.61,75.61,75.61,46,0,15.17,AU
20,Puerto Natales,-51.7236,-72.4875,45.05,45.05,45.05,65,40,14.97,CL
21,Port-aux-Français,-49.35,70.2167,42.57,42.57,42.57,98,100,22.75,TF
22,Hithadhoo,-0.6,73.0833,81.54,81.54,81.54,73,11,11.54,MV
23,Atafu Village,-8.5421,-172.5159,82.83,82.83,82.83,78,59,12.48,TK
24,Ålesund,62.4723,6.1549,37.54,42.75,37.54,87,75,3.44,NO
25,Medeiros Neto,-17.3739,-40.2206,69.21,69.21,69.21,88,39,4.74,BR
26,Chui,-33.6971,-53.4616,48.74,48.74,48.74,75,0,5.26,UY
27,Avarua,-21.2078,-159.775,80.65,80.65,80.65,89,40,12.66,CK
28,Puerto Ayora,-0.7393,-90.3518,72.55,72.55,72.55,95,58,4.0,EC
29,Vilyuchinsk,52.9306,158.4028,34.07,34.07,34.07,80,100,17.0,RU
30,Papao,-17.75,-149.55,85.68,85.68,85.68,79,99,22.64,PF
31,Afaahiti,-17.75,-149.2833,78.15,78.15,78.15,81,98,21.52,PF
32,Queenstown,-31.8976,26.8753,61.54,61.54,61.54,81,46,1.9,ZA
33,New Norfolk,-42.7826,147.0587,64.71,64.71,63.91,47,9,13.49,AU
34,Hirara,24.8,125.2833,66.47,66.47,66.06,82,75,28.77,JP
35,Ust'-Uda,54.1742,103.0304,19.87,19.87,19.87,92,100,2.37,RU
36,Ushuaia,-54.8,-68.3,44.26,44.26,44.26,81,20,6.91,AR
37,Dunedin,-45.8742,170.5036,68.81,68.81,68.81,69,24,11.99,NZ
38,Chonchi,-42.6128,-73.8092,49.12,49.12,49.12,95,99,4.18,CL
39,Srīvardhan,18.0333,73.0167,80.26,80.26,80.26,43,94,6.78,IN
40,Chamdo,31.1667,97.2333,33.13,33.13,33.13,35,2,7.47,CN
41,Invercargill,-46.4,168.35,70.16,70.16,70.16,58,29,12.73,NZ
42,Salalah,17.0151,54.0924,80.69,80.69,80.69,39,0,14.97,OM
43,Tôlanaro,-25.0319,46.9987,75.27,75.27,75.27,88,20,6.91,MG
44,Yellowknife,62.456,-114.3525,10.92,10.92,10.92,92,100,9.22,CA
45,Hammerfest,70.6634,23.6821,36.05,36.05,36.05,69,40,5.75,NO
46,Lorengau,-2.0226,147.2712,79.59,79.59,79.59,88,100,13.02,PG
47,Alula,11.9661,50.7569,79.41,79.41,79.41,64,98,7.61,SO
48,Egilsstadir,65.2653,-14.3948,21.11,21.11,21.11,73,0,3.44,IS
49,Acaraú,-2.8856,-40.12,79.02,79.02,79.02,81,95,10.27,BR
50,Chorozinho,-4.3003,-38.4978,74.57,74.57,74.57,89,100,1.61,BR
51,West Island,-12.1568,96.8225,82.38,82.38,82.38,74,20,18.41,CC
52,Olonkinbyen,70.9221,-8.7187,21.6,21.6,21.6,57,36,14.83,SJ
53,Port Douglas,-16.4833,145.4667,83.57,83.57,83.57,76,83,8.7,AU
54,Nikolayevsk-on-Amur,53.1406,140.73,9.23,9.23,9.23,86,79,6.93,RU
55,Suntar,62.1444,117.6319,-5.89,-5.89,-5.89,95,28,4.56,RU
56,Tyul'gan,52.3405,56.166,2.07,2.07,2.07,97,99,2.44,RU
57,Anadyr,64.75,177.4833,-16.01,-16.01,-16.1,75,62,6.71,RU
58,Albany,42.6001,-73.9662,30.18,30.61,27.88,74,100,1.99,US
59,Viedma,-40.8135,-62.9967,47.59,47.59,47.59,63,0,7.23,AR
60,İnönü,37.3167,33.7667,42.71,42.71,42.71,70,57,12.8,TR
61,Rome,43.2128,-75.4557,28.56,29.35,27.93,94,100,9.22,US
62,Bredasdorp,-34.5322,20.0403,60.22,60.22,60.22,78,0,2.59,ZA
63,Antigonish,45.6169,-61.9986,17.55,19.96,15.98,82,59,7.0,CA
64,Devils Lake,48.1128,-98.8651,31.98,31.98,31.98,93,20,8.05,US
65,South Hedland,-20.4089,118.5983,91.33,91.33,91.33,52,100,12.66,AU
66,Katsuren-haebaru,26.3369,127.8719,66.34,66.58,66.09,69,100,17.27,JP
67,Thompson,55.7435,-97.8558,5.16,5.16,5.16,85,100,6.91,CA
68,Ola,59.5833,151.2833,16.09,16.09,16.09,75,93,10.92,RU
69,Tofol,5.3248,163.0078,83.25,83.25,83.25,78,99,16.49,FM
70,Cockburn Town,21.4612,-71.1419,76.96,76.96,76.96,94,75,14.97,TC
71,Longyearbyen,78.2186,15.6401,26.44,26.44,26.44,86,100,13.8,SJ
72,Ellensburg,46.9965,-120.5479,34.57,39.45,34.57,80,0,5.75,US
73,Edinburgh of the Seven Seas,-37.0676,-12.3116,62.96,62.96,62.96,94,100,43.33,SH
74,Senanga,-16.1167,23.2667,68.95,68.95,68.95,68,58,5.53,ZM
75,Bethel,41.3712,-73.414,33.53,35.69,31.59,62,100,5.75,US
76,Hamilton,39.1834,-84.5333,41.5,42.82,39.11,51,40,14.97,US
77,Jieshi,22.8134,115.8257,65.08,65.08,65.08,59,55,9.44,CN
78,Le Grazie di Ancona,43.6008,13.5153,48.85,50.0,45.19,89,100,9.22,IT
79,Kailua-Kona,19.6406,-155.9956,78.66,80.56,75.6,69,20,11.5,US
80,Ghat,24.9647,10.1728,47.52,47.52,47.52,38,0,6.35,LY
81,Nadym,65.5333,72.5167,-1.17,-1.17,-1.17,92,21,9.66,RU
